UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,999,332031554,164722995,167308559,125590192,125853470,21737125,23366172,2190326,2135429,9878571,10595555,439057,423074,4887724,4934859,129949815,130231697,23977903,25673946,3591168,3590045,11703767,12401821,871396,856411,132946851,136459531,97883048,99011336,20132705,21726573,1194101,1218890,9545905,10265692,316291,308386,3874801,3928654,101340640,102496564,21893104,23549131,2178514,2261986,11088828,11790819,651051,645327,31776144,30849028,27707144,26842134,1604420,1639599,996225,916539,332666,329863,122766,114688,1012923,1006205,28609175,27735133,2084799,2124815,1412654,1328059,614939,611002,220345,211084
R,7,2021,0,3570131,1825237,1744894,1250392,1192174,303971,294801,33219,31913,108690,102133,6848,6419,122117,117454,1362717,1300186,371613,360017,55974,53875,153764,145315,15220,14399,1334805,1271911,852413,808410,267447,259439,12500,11952,101199,94879,4080,3794,97166,93437,942299,894819,322071,312095,26935,25889,138501,130618,10164,9603,490432,472983,397979,383764,36524,35362,20719,19961,7491,7254,2768,2625,24951,24017,420418,405367,49542,47922,29039,27986,15263,14697,5056,4796
R,7,2021,1,3675382,1879051,1796331,1302751,1243148,298460,289283,34779,33232,112229,105629,6996,6590,123836,118449,1416578,1352011,367124,355108,57848,55372,158013,149271,15583,14722,1389710,1326257,905140,860838,263242,255369,13614,13105,104620,98415,4289,3975,98805,94555,996485,948234,318794,308658,28326,27248,142611,134649,10541,9897,489341,470074,397611,382310,35218,33914,21165,20127,7609,7214,2707,2615,25031,23894,420093,403777,48330,46450,29522,28124,15402,14622,5042,4825
R,7,2021,2,3725597,1902665,1822932,1321512,1262483,299925,292723,35373,33999,114986,108471,7210,6776,123659,118480,1435087,1371296,368369,358498,58515,56274,160786,152122,15815,14950,1406933,1344227,918149,872547,264584,258429,14121,13641,107114,101050,4401,4155,98564,94405,1009193,959743,319859,311575,28874,27847,145129,137244,10672,10105,495732,478705,403363,389936,35341,34294,21252,20358,7872,7421,2809,2621,25095,24075,425894,411553,48510,46923,29641,28427,15657,14878,5143,4845
R,7,2021,3,3813656,1949671,1863985,1352704,1290131,306550,298926,36024,34094,121139,113496,7271,6916,125983,120422,1468419,1400713,375939,365636,59603,56707,168048,157974,16097,15263,1446777,1379356,941816,893750,271917,265327,14152,13652,113519,106152,4567,4300,100806,96175,1034915,982547,328158,319327,29242,28137,152658,143160,11045,10398,502894,484629,410888,396381,34633,33599,21872,20442,7620,7344,2704,2616,25177,24247,433504,418166,47781,46309,30361,28570,15390,14814,5052,4865
R,7,2021,4,3891463,1991469,1899994,1386793,1319476,307168,298774,35211,34179,127875,119691,7443,7058,126979,120816,1503317,1430393,376138,365143,59199,57171,175909,164573,16526,15523,1479390,1406843,964509,913282,273074,265648,15192,14580,120226,112418,4769,4434,101620,96481,1058230,1002327,328826,319320,30684,29383,160399,149780,11485,10636,512079,493151,422284,406194,34094,33126,20019,19599,7649,7273,2674,2624,25359,24335,445087,428066,47312,45823,28515,27788,15510,14793,5041,4887
R,7,2021,5,3993711,2041144,1952567,1437265,1369038,307884,301788,34816,33482,125736,118558,7311,7018,128132,122683,1554931,1481724,377296,368755,59387,57035,173978,164254,16430,15669,1516255,1448043,1000990,949718,274355,269282,15713,15123,118072,111339,4625,4435,102500,98146,1095601,1040339,330569,323526,31610,30371,158302,149441,11338,10792,524889,504524,436275,419320,33529,32506,19103,18359,7664,7219,2686,2583,25632,24537,459330,441385,46727,45229,27777,26664,15676,14813,5092,4877
R,7,2021,6,4029311,2058269,1971042,1446609,1381044,313774,306018,34579,33567,128224,120701,7266,7024,127817,122688,1563964,1493714,383032,372951,59266,57188,176156,166378,16376,15647,1534245,1464853,1010468,960109,279732,272993,16067,15388,120886,113640,4646,4469,102446,98254,1104995,1050808,335822,327234,32141,30708,161019,151809,11398,10853,524024,506189,436141,420935,34042,33025,18512,18179,7338,7061,2620,2555,25371,24434,458969,442906,47210,45717,27125,26480,15137,14569,4978,4794
R,7,2021,7,4017311,2057137,1960174,1450008,1375383,314331,305440,34813,33564,124542,117903,6964,6702,126479,121182,1566181,1486664,382419,371687,59415,57051,172172,162726,16115,15328,1535840,1460582,1016005,959792,280065,272542,16410,15685,117512,111236,4522,4338,101326,96989,1109569,1049321,335151,326239,32469,30947,157360,148633,11261,10696,521297,499592,434003,415591,34266,32898,18403,17879,7030,6667,2442,2364,25153,24193,456612,437343,47268,45448,26946,26104,14812,14093,4854,4632
R,7,2021,8,4004132,2046297,1957835,1440982,1374728,312219,304103,34477,33291,126750,119560,6981,6658,124888,119495,1555550,1484285,378998,368814,58874,56760,174175,164237,16204,15287,1528849,1458451,1008802,957934,278979,271950,16564,15814,119929,112885,4589,4311,99986,95557,1100993,1045986,332944,324284,32492,31115,159623,150181,11369,10619,517448,499384,432180,416794,33240,32153,17913,17477,6821,6675,2392,2347,24902,23938,454557,438299,46054,44530,26382,25645,14552,14056,4835,4668
R,7,2021,9,4011235,2053150,1958085,1452496,1381257,313324,303369,35521,34200,121735,115188,6739,6480,123335,117591,1565634,1489093,379494,366874,59998,57586,168088,159008,15765,15087,1530213,1455215,1015307,960599,280409,271843,16620,15962,115052,108764,4361,4183,98464,93864,1106088,1047125,333753,323112,32552,31174,153783,145297,10985,10476,522937,502870,437189,420658,32915,31526,18901,18238,6683,6424,2378,2297,24871,23727,459546,441968,45741,43762,27446,26412,14305,13711,4780,4611
R,7,2021,10,4055389,2080465,1974924,1480700,1401073,315703,304935,34083,32812,119471,112625,6667,6338,123841,117141,1594383,1508509,382021,368030,58922,56526,165816,156098,15778,14864,1543882,1460527,1026992,966962,284178,274093,16918,16004,112930,106400,4324,4091,98540,92977,1117893,1052661,337574,324752,33039,31356,151491,142516,10985,10285,536583,514397,453708,434111,31525,30842,17165,16808,6541,6225,2343,2247,25301,24164,476490,455848,44447,43278,25883,25170,14325,13582,4793,4579
R,7,2021,11,4139966,2120662,2019304,1518336,1439872,320563,309423,33642,32514,118162,112455,6391,6225,123568,118815,1632057,1548969,386906,373780,58567,56836,163803,155828,15273,14714,1568326,1490394,1047523,989069,289571,279644,17096,16765,111877,106540,4297,4153,97962,94223,1138109,1075973,342840,331220,33123,32572,149769,142621,10803,10312,552336,528910,470813,450803,30992,29779,16546,15749,6285,5915,2094,2072,25606,24592,493948,472996,44066,42560,25444,24264,14034,13207,4470,4402
